Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79291,176675,Active,Limnodromus griseus,Short-billed Dowitcher,,Present
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79206,176599,Active,Numenius phaeopus,Whimbrel,,Present
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79231,176620,Active,Tringa flavipes,Lesser Yellowlegs,,Present
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79229,176619,Active,Tringa melanoleuca,Greater Yellowlegs,,Present
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Scolopacidae,79225,176615,Active,Tringa solitaria,Solitary Sandpiper,,Present
VIIS,Virgin Islands National Park,Bird,2,Charadriiformes,Stercorariidae,80358,176792,Active,Stercorarius pomarinus,"Pomarine Jaeger, Pomarine Skua",,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,82677,177071,Active,Columba livia,"Common Pigeon, Rock Dove, Rock Pigeon",,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,82767,177152,Active,Columbina passerina,"Common Ground Dove, Common Ground-Dove",,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,83468,177180,Active,Geotrygon montana,Ruddy Quail-Dove,,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,83476,177188,Active,Geotrygon mystacea,Bridled Quail-Dove,,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,525785,676903,Active,Patagioenas leucocephala,White-crowned Pigeon,Columba leucocephala,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,525800,676910,Active,Patagioenas squamosa,Scaly-naped Pigeon,Columba squamosa,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,82733,177121,Active,Zenaida asiatica,White-winged Dove,,Present
VIIS,Virgin Islands National Park,Bird,2,Columbiformes,Columbidae,82729,177118,Active,Zenaida aurita,Zenaida Dove,,Present
VIIS,Virgin Islands National Park,Bird,2,Coraciiformes,Alcedinidae,83980,178119,Active,Ceryle alcyon,Belted Kingfisher,,Present
VIIS,Virgin Islands National Park,Bird,2,Cuculiformes,Cuculidae,89102,177831,Active,Coccyzus americanus,Yellow-billed Cuckoo,,Present
VIIS,Virgin Islands National Park,Bird,2,Cuculiformes,Cuculidae,89098,177828,Active,Coccyzus minor,Mangrove Cuckoo,,Present
VIIS,Virgin Islands National Park,Bird,2,Cuculiformes,Cuculidae,89109,177838,Active,Crotophaga ani,Smooth-billed Ani,,Present
VIIS,Virgin Islands National Park,Bird,2,Falconiformes,Falconidae,82533,175613,Active,Falco columbarius,Merlin,,Present
VIIS,Virgin Islands National Park,Bird,2,Falconiformes,Falconidae,81854,175604,Active,Falco peregrinus,Eurasian Peregrine Falcon,Falco peregrinus peregrinus,Present
VIIS,Virgin Islands National Park,Bird,2,Falconiformes,Falconidae,82543,175622,Active,Falco sparverius,American Kestrel,,Present
VIIS,Virgin Islands National Park,Bird,2,Galliformes,Numididae,86440,176126,Active,Numida meleagris,Helmeted Guineafowl,,Present
VIIS,Virgin Islands National Park,Bird,2,Galliformes,Phasianidae,85330,176086,Active,Gallus gallus,Red Junglefowl,,Present
VIIS,Virgin Islands National Park,Bird,2,Gruiformes,Rallidae,87290,176292,Active,Fulica americana,American Coot,,Present
VIIS,Virgin Islands National Park,Bird,2,Gruiformes,Rallidae,87293,176295,Active,Fulica caribaea,Caribbean Coot,,Present
VIIS,Virgin Islands National Park,Bird,2,Gruiformes,Rallidae,87281,176284,Active,Gallinula chloropus,Common Moorhen,,Present
VIIS,Virgin Islands National Park,Bird,2,Gruiformes,Rallidae,87235,176242,Active,Porzana carolina,Sora,,Present
VIIS,Virgin Islands National Park,Bird,2,Gruiformes,Rallidae,86532,176209,Active,Rallus longirostris,Clapper Rail,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Cardinalidae,628204,726198,Active,Passerina caerulea,Blue Grosbeak,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Cardinalidae,94257,179150,Active,Passerina cyanea,Indigo Bunting,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Cardinalidae,94244,179139,Active,Pheucticus ludovicianus,Rose-breasted Grosbeak,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Cardinalidae,88071,179883,Active,Piranga olivacea,Scarlet Tanager,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Cardinalidae,94273,179165,Active,Spiza americana,Dickcissel,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Coerebidae,88091,179900,Active,Coereba flaveola,Bananaquit,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87409,178448,Active,Hirundo rustica,Barn Swallow,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87417,178455,Active,Petrochelidon pyrrhonota,Cliff Swallow,Hirundo pyrrhonota,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87434,178470,Active,Progne dominicensis,Caribbean Martin,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87396,178436,Active,Riparia riparia,Bank Swallow,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87404,178443,Active,Stelgidopteryx serripennis,Northern Rough-winged Swallow,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Hirundinidae,87391,178431,Active,Tachycineta bicolor,Tree Swallow,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Icteridae,93599,179032,Active,Dolichonyx oryzivorus,Bobolink,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Icteridae,93655,179083,Active,Icterus galbula,"Baltimore Oriole, Northern Oriole",,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Icteridae,93660,179088,Active,Icterus icterus,Troupial,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Icteridae,94220,179117,Active,Molothrus bonariensis,Shiny Cowbird,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Mimidae,90011,178656,Active,Margarops fuscatus,Pearly-eyed Thrasher,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Mimidae,88394,178620,Active,Mimus polyglottos,Northern Mockingbird,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92645,178888,Active,Dendroica caerulescens,Black-throated Blue Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92673,178912,Active,Dendroica castanea,Bay-breasted Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92649,178891,Active,Dendroica coronata,Yellow-rumped Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92679,178918,Active,Dendroica discolor,Prairie Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92665,178905,Active,Dendroica dominica,Yellow-throated Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92664,178904,Active,Dendroica fusca,Blackburnian Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92643,178886,Active,Dendroica magnolia,Magnolia Warbler,,Present
VIIS,Virgin Islands National Park,Bird,2,Passeriformes,Parulidae,92683,178921,Active,Dendroica palmarum,Palm Warbler,,Present
