Code,Place_Name,Category,Sort,OrderName,FamilyName,Taxon,TSN,TaxonRecordStatus,ScientificName,CommonNames,Synonyms,Occurrence,Code ,Latitude,Longitude
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78527,175141.0,Active,Bucephala clangula,Common Goldeneye,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77742,175038.0,Active,Chen caerulescens,Snow Goose,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,77746,175041.0,Active,Chen rossii,Ross' Goose,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78535,175149.0,Active,Histrionicus histrionicus,Harlequin Duck,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78573,175183.0,Active,Lophodytes cucullatus,Hooded Merganser,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78551,175163.0,Active,Melanitta fusca,White-winged Scoter,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78560,175171.0,Active,Melanitta nigra,Black Scoter,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78559,175170.0,Active,Melanitta perspicillata,Surf Scoter,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78577,175187.0,Active,Mergus serrator,Red-breasted Merganser,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Anseriformes,Anatidae,78564,175175.0,Active,Oxyura jamaicensis,Ruddy Duck,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Apodidae,83060,178014.0,Active,Aeronautes saxatalis,White-throated Swift,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Apodidae,83046,178001.0,Active,Chaetura pelagica,Chimney Swift,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Apodidae,83047,178002.0,Active,Chaetura vauxi,Vaux's Swift,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Apodidae,83039,177997.0,Active,Cypseloides niger,Black Swift,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83885,178033.0,Active,Archilochus alexandri,Black-chinned Hummingbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83888,178036.0,Active,Calypte anna,Anna's Hummingbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83887,178035.0,Active,Calypte costae,Costa's Hummingbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83893,178040.0,Active,Selasphorus rufus,Rufous Hummingbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83894,178041.0,Active,Selasphorus sasin,Allen's Hummingbird,"Selasphorus sasin sedentarius, Selasphorus sasin sasin",Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Apodiformes,Trochilidae,83901,178048.0,Active,Stellula calliope,Calliope Hummingbird,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83029,177988.0,Active,Chordeiles acutipennis,Lesser Nighthawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Caprimulgiformes,Caprimulgidae,83019,177979.0,Active,Chordeiles minor,Common Nighthawk,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Caprimulgiformes,Caprimulgidae,271703,555544.0,Active,Phalaenoptilus nuttallii,Common Poorwill,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81924,176996.0,Active,Brachyramphus marmoratus,Marbled Murrelet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81919,176991.0,Active,Cepphus columba,Pigeon Guillemot,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81956,177023.0,Active,Cerorhinca monocerata,Rhinoceros Auklet,,Present,CHIS,33.998028000000005,-119.772949
CHIS,Channel Islands National Park,Bird,2,Charadriiformes,Alcidae,81966,177032.0,Active,Fratercula cirrhata,Tufted Puffin,,Present,CHIS,33.998028000000005,-119.772949
